The CPU is at: 14.4% usage
Memory usage: 7529.3/16124 MBs
Storage at: 138.7/237.7 GBs
Network usage at: 567.5 Mbps
Active processes:
     ProcessID: 8052 Process Name: msedgewebview2.exe
     ProcessID: 8096 Process Name: NisSrv.exe
     ProcessID: 8252 Process Name: powershell.exe
     ProcessID: 8300 Process Name: Taskmgr.exe
     ProcessID: 8316 Process Name: svchost.exe
     ProcessID: 8572 Process Name: csrss.exe
     ProcessID: 8756 Process Name: svchost.exe
     ProcessID: 8764 Process Name: svchost.exe
     ProcessID: 8812 Process Name: dwm.exe
     ProcessID: 9004 Process Name: svchost.exe
     ProcessID: 9404 Process Name: svchost.exe
     ProcessID: 9552 Process Name: svchost.exe
     ProcessID: 9592 Process Name: dasHost.exe
     ProcessID: 9668 Process Name: sihost.exe
     ProcessID: 9760 Process Name: Code.exe
     ProcessID: 9892 Process Name: svchost.exe
     ProcessID: 9972 Process Name: postgres.exe
     ProcessID: 9988 Process Name: RuntimeBroker.exe
     ProcessID: 10200 Process Name: svchost.exe
     ProcessID: 10264 Process Name: firefox.exe
     ProcessID: 10352 Process Name: WinStore.App.exe
     ProcessID: 10452 Process Name: conhost.exe
     ProcessID: 10528 Process Name: postgres.exe
     ProcessID: 10564 Process Name: backgroundTaskHost.exe
     ProcessID: 10580 Process Name: svchost.exe
     ProcessID: 10636 Process Name: conhost.exe
     ProcessID: 10820 Process Name: taskhostw.exe
     ProcessID: 11040 Process Name: Code.exe
     ProcessID: 11044 Process Name: svchost.exe
     ProcessID: 11256 Process Name: svchost.exe
     ProcessID: 11424 Process Name: svchost.exe
     ProcessID: 11444 Process Name: OfficeClickToRun.exe
     ProcessID: 11476 Process Name: svchost.exe
     ProcessID: 11528 Process Name: python3.11.exe
     ProcessID: 11624 Process Name: Code.exe
     ProcessID: 11828 Process Name: svchost.exe
     ProcessID: 12488 Process Name: svchost.exe
     ProcessID: 12868 Process Name: WmiPrvSE.exe
     ProcessID: 13124 Process Name: svchost.exe
     ProcessID: 13136 Process Name: svchost.exe
     ProcessID: 13184 Process Name: backgroundTaskHost.exe
     ProcessID: 13240 Process Name: conhost.exe
     ProcessID: 13340 Process Name: svchost.exe
     ProcessID: 13428 Process Name: msedgewebview2.exe
     ProcessID: 13468 Process Name: ShellExperienceHost.exe
     ProcessID: 13580 Process Name: RuntimeBroker.exe
     ProcessID: 13648 Process Name: DismHost.exe
     ProcessID: 13748 Process Name: powershell.exe
     ProcessID: 13808 Process Name: svchost.exe
     ProcessID: 13948 Process Name: audiodg.exe
     ProcessID: 14164 Process Name: svchost.exe
     ProcessID: 14292 Process Name: svchost.exe
     ProcessID: 14416 Process Name: svchost.exe
     ProcessID: 14520 Process Name: msedgewebview2.exe
     ProcessID: 14820 Process Name: conhost.exe
     ProcessID: 15132 Process Name: Code.exe
     ProcessID: 15432 Process Name: svchost.exe
     ProcessID: 15508 Process Name: svchost.exe
     ProcessID: 15856 Process Name: svchost.exe
     ProcessID: 16156 Process Name: firefox.exe
     ProcessID: 16180 Process Name: Code.exe
     ProcessID: 16504 Process Name: DismHost.exe
     ProcessID: 16792 Process Name: svchost.exe
     ProcessID: 17704 Process Name: OfficeClickToRun.exe
     ProcessID: 17768 Process Name: PhoneExperienceHost.exe
     ProcessID: 17936 Process Name: svchost.exe
     ProcessID: 18144 Process Name: RuntimeBroker.exe
     ProcessID: 18204 Process Name: postgres.exe
     ProcessID: 18236 Process Name: svchost.exe
     ProcessID: 18636 Process Name: postgres.exe
     ProcessID: 19528 Process Name: Code.exe
     ProcessID: 19768 Process Name: wlanext.exe
     ProcessID: 19816 Process Name: firefox.exe
     ProcessID: 19820 Process Name: svchost.exe
     ProcessID: 19940 Process Name: svchost.exe
     ProcessID: 20060 Process Name: python3.11.exe
     ProcessID: 20112 Process Name: firefox.exe
     ProcessID: 20272 Process Name: explorer.exe
     ProcessID: 20280 Process Name: firefox.exe
     ProcessID: 20388 Process Name: armsvc.exe
     ProcessID: 20424 Process Name: svchost.exe
     ProcessID: 20716 Process Name: CompatTelRunner.exe
     ProcessID: 20724 Process Name: SearchFilterHost.exe
     ProcessID: 21020 Process Name: Code.exe
     ProcessID: 21224 Process Name: MicrosoftEdgeUpdate.exe
     ProcessID: 21228 Process Name: svchost.exe
     ProcessID: 21300 Process Name: svchost.exe
     ProcessID: 21428 Process Name: Code.exe
     ProcessID: 21464 Process Name: backgroundTaskHost.exe
     ProcessID: 21648 Process Name: Code.exe
     ProcessID: 21864 Process Name: fontdrvhost.exe
     ProcessID: 22152 Process Name: pg_ctl.exe
     ProcessID: 22556 Process Name: taskhostw.exe
     ProcessID: 22880 Process Name: EPDCtrl.exe
     ProcessID: 22892 Process Name: postgres.exe
     ProcessID: 23016 Process Name: RuntimeBroker.exe
     ProcessID: 23052 Process Name: ShellHost.exe
     ProcessID: 23116 Process Name: Code.exe
     ProcessID: 23316 Process Name: TiWorker.exe
     ProcessID: 23724 Process Name: taskhostw.exe
     ProcessID: 23972 Process Name: Code.exe
     ProcessID: 24024 Process Name: igfxext.exe
     ProcessID: 24296 Process Name: msedgewebview2.exe
     ProcessID: 24472 Process Name: backgroundTaskHost.exe
     ProcessID: 24560 Process Name: sppsvc.exe
     ProcessID: 24748 Process Name: conhost.exe
     ProcessID: 24920 Process Name: backgroundTaskHost.exe
     ProcessID: 24940 Process Name: smartscreen.exe
     ProcessID: 25036 Process Name: RuntimeBroker.exe
     ProcessID: 25272 Process Name: firefox.exe
     ProcessID: 25300 Process Name: StartMenuExperienceHost.exe
     ProcessID: 25384 Process Name: svchost.exe
     ProcessID: 25400 Process Name: firefox.exe
     ProcessID: 25588 Process Name: svchost.exe
     ProcessID: 25604 Process Name: svchost.exe
     ProcessID: 25740 Process Name: msedgewebview2.exe
     ProcessID: 25836 Process Name: directxdatabaseupdater.exe
     ProcessID: 26212 Process Name: winlogon.exe
     ProcessID: 26612 Process Name: dllhost.exe
     ProcessID: 26696 Process Name: RuntimeBroker.exe
     ProcessID: 26884 Process Name: svchost.exe
     ProcessID: 27492 Process Name: directxdatabaseupdater.exe
     ProcessID: 27840 Process Name: dllhost.exe
     ProcessID: 27944 Process Name: msedgewebview2.exe
     ProcessID: 27976 Process Name: SystemSettings.exe
     ProcessID: 28128 Process Name: UserOOBEBroker.exe
     ProcessID: 28316 Process Name: firefox.exe
     ProcessID: 28804 Process Name: firefox.exe
     ProcessID: 28832 Process Name: Code.exe
     ProcessID: 29096 Process Name: AppVShNotify.exe
     ProcessID: 29636 Process Name: firefox.exe
     ProcessID: 30264 Process Name: cmd.exe
     ProcessID: 30372 Process Name: firefox.exe
     ProcessID: 30420 Process Name: AppVShNotify.exe
     ProcessID: 30900 Process Name: LockApp.exe
     ProcessID: 31084 Process Name: MoUsoCoreWorker.exe
     ProcessID: 31336 Process Name: svchost.exe
     ProcessID: 31516 Process Name: firefox.exe
     ProcessID: 31608 Process Name: svchost.exe
     ProcessID: 31632 Process Name: svchost.exe
     ProcessID: 31716 Process Name: OfficeClickToRun.exe
     ProcessID: 32324 Process Name: svchost.exe
     ProcessID: 32400 Process Name: Integrator.exe
     ProcessID: 32576 Process Name: svchost.exe
     ProcessID: 32816 Process Name: WmiPrvSE.exe
